DATE,PRCP,SNOW,SNWD,TMAX,TMIN
2008-05-25,0.0,0.0,0.0,27.2,8.3
2008-05-26,0.0,0.0,0.0,31.7,10.6
2008-05-27,0.0,0.0,0.0,30.0,7.2
2008-05-28,0.0,0.0,0.0,33.9,7.8
2008-05-29,0.0,0.0,0.0,33.3,8.3
2008-05-30,0.0,0.0,0.0,34.4,7.8
2008-05-31,0.0,0.0,0.0,35.0,8.3
2008-06-01,0.0,0.0,0.0,36.7,8.3
2008-06-02,0.0,0.0,0.0,37.8,11.7
2008-06-03,0.0,0.0,0.0,35.0,12.2
2008-06-04,0.0,0.0,0.0,36.7,12.8
2008-06-05,0.0,0.0,0.0,34.4,18.3
2008-06-06,0.0,0.0,0.0,28.9,8.3
2008-06-07,0.0,0.0,0.0,35.0,11.7
2008-06-08,0.0,0.0,0.0,36.7,16.1
2008-06-09,0.0,0.0,0.0,34.4,11.7
2008-06-10,0.0,0.0,0.0,37.2,13.3
2008-06-11,0.0,0.0,0.0,39.4,18.3
2008-06-12,0.0,0.0,0.0,36.1,16.1
2008-06-13,0.0,0.0,0.0,35.6,11.7
2008-06-14,0.0,0.0,0.0,37.8,13.3
2008-06-15,0.0,0.0,0.0,40.0,16.7
2008-06-16,0.0,0.0,0.0,38.3,17.8
2008-06-17,0.0,0.0,0.0,40.0,17.2
2008-06-18,0.0,0.0,0.0,40.6,18.9
2008-06-19,0.0,0.0,0.0,38.9,16.1
2008-06-20,0.0,0.0,0.0,38.3,12.8
2008-06-21,0.0,0.0,0.0,40.6,17.2
2008-06-22,0.0,0.0,0.0,40.0,18.3
2008-06-23,0.0,0.0,0.0,38.9,17.8
2008-06-24,0.0,0.0,0.0,39.4,18.3
2008-06-25,0.0,0.0,0.0,38.9,21.1
2008-06-26,0.0,0.0,0.0,35.6,17.8
2008-06-27,5.6,0.0,0.0,35.6,13.9
2008-06-28,,0.0,0.0,,
2008-06-29,,0.0,0.0,,
2008-06-30,,0.0,0.0,37.2,17.2
2008-07-01,,,,,
2008-07-02,,,,,
2008-07-03,,,,,
2008-07-04,,,,,
2008-07-05,,,,,
2008-07-06,,,,,
2008-07-07,,,,,
2008-07-08,,,,,
2008-07-09,,,,,
2008-07-10,,,,,
2008-07-11,,,,,
2008-07-12,,,,,
2008-07-13,,,,,
2008-07-14,,,,,
2008-07-15,,,,,
2008-07-16,,,,,
2008-07-17,,,,,
2008-07-18,,,,,
2008-07-19,,,,,
2008-07-20,,,,,
2008-07-21,,,,,
2008-07-22,,,,,
2008-07-23,,,,,
2008-07-24,,,,,
2008-07-25,,,,,
2008-07-26,,,,,
2008-07-27,,,,,
2008-07-28,,,,,
2008-07-29,,,,,
2008-07-30,,,,,
2008-07-31,,,,,
2008-08-01,0.0,0.0,,37.8,20.6
2008-08-02,0.0,0.0,0.0,37.8,18.9
2008-08-03,0.0,0.0,0.0,,
2008-08-04,19.1,0.0,0.0,33.3,18.3
2008-08-05,0.0,0.0,0.0,32.8,20.0
2008-08-06,4.8,0.0,0.0,35.0,17.8
2008-08-07,0.0,0.0,0.0,36.1,17.8
2008-08-08,0.0,0.0,0.0,23.9,18.9
2008-08-09,5.1,0.0,0.0,32.2,18.3
2008-08-10,10.2,0.0,0.0,32.2,18.3
2008-08-11,0.0,0.0,0.0,32.8,18.3
2008-08-12,0.0,0.0,0.0,34.4,21.1
2008-08-13,0.0,0.0,0.0,34.4,16.7
2008-08-14,9.1,0.0,0.0,34.4,18.9
2008-08-15,0.0,0.0,0.0,31.1,19.4
2008-08-16,0.0,0.0,0.0,32.8,17.8
2008-08-17,2.5,0.0,0.0,33.9,18.9
2008-08-18,0.0,0.0,0.0,32.2,18.3
2008-08-19,0.8,0.0,0.0,33.3,18.3
2008-08-20,0.0,0.0,0.0,34.4,16.7
2008-08-21,0.0,0.0,0.0,35.0,17.2
2008-08-22,0.0,0.0,0.0,36.1,18.9
2008-08-23,0.0,0.0,0.0,36.1,18.3
2008-08-24,0.0,0.0,0.0,35.6,16.7
2008-08-25,0.0,0.0,0.0,35.6,16.7
2008-08-26,0.0,0.0,0.0,31.7,19.4
2008-08-27,6.4,0.0,0.0,28.3,16.7
2008-08-28,22.4,0.0,0.0,29.4,17.2
2008-08-29,1.3,0.0,0.0,28.3,16.7
2008-08-30,3.8,0.0,0.0,30.6,18.3
2008-08-31,4.6,0.0,0.0,30.0,18.9
2008-09-01,24.9,0.0,0.0,30.0,15.6
2008-09-02,0.0,0.0,0.0,30.6,16.7
2008-09-03,0.0,0.0,0.0,32.8,17.2
2008-09-04,1.0,0.0,0.0,32.2,15.6
2008-09-05,0.0,0.0,0.0,33.3,14.4
2008-09-06,0.0,0.0,0.0,34.4,13.3
2008-09-07,0.0,0.0,0.0,35.6,13.9
2008-09-08,1.0,0.0,0.0,33.3,15.0
2008-09-09,3.0,0.0,0.0,32.8,13.9
2008-09-10,0.0,0.0,0.0,32.2,15.6
2008-09-11,0.8,0.0,0.0,30.0,16.1
2008-09-12,3.0,0.0,0.0,30.0,14.4
2008-09-13,0.0,0.0,0.0,28.3,12.8
2008-09-14,0.0,0.0,0.0,29.4,11.7
2008-09-15,0.0,0.0,0.0,32.8,13.9
2008-09-16,0.0,0.0,0.0,29.4,14.4
2008-09-17,0.0,0.0,0.0,29.4,13.9
2008-09-18,0.0,0.0,0.0,30.0,12.8
2008-09-19,0.0,0.0,0.0,32.2,12.2
2008-09-20,0.0,0.0,0.0,32.8,12.8
2008-09-21,0.0,0.0,0.0,33.9,13.3
2008-09-22,0.0,0.0,0.0,34.4,13.3
2008-09-23,0.0,0.0,0.0,32.8,12.2
2008-09-24,0.0,0.0,0.0,34.4,12.8
2008-09-25,0.0,0.0,0.0,33.3,16.1
2008-09-26,11.4,0.0,0.0,30.6,16.1
2008-09-27,,0.0,0.0,,
2008-09-28,,0.0,0.0,30.0,12.2
2008-09-29,0.0,0.0,0.0,30.0,13.3
2008-09-30,0.0,0.0,0.0,29.4,12.8
2008-10-01,0.0,0.0,0.0,30.6,10.0
2008-10-02,0.0,0.0,0.0,31.7,10.6
2008-10-03,0.0,0.0,0.0,32.8,12.2
2008-10-04,0.0,0.0,0.0,31.1,13.3
2008-10-05,0.0,0.0,0.0,28.9,13.9
2008-10-06,0.0,0.0,0.0,25.0,7.2
2008-10-07,0.0,0.0,0.0,29.4,6.1
2008-10-08,0.0,0.0,0.0,,
2008-10-09,0.0,0.0,0.0,32.8,9.4
2008-10-10,0.0,0.0,0.0,31.7,12.2
2008-10-11,0.0,0.0,0.0,29.4,17.8
2008-10-12,0.0,0.0,0.0,27.8,6.1
2008-10-13,0.0,0.0,0.0,20.0,-1.7
2008-10-14,0.0,0.0,0.0,21.7,0.0
2008-10-15,0.0,0.0,0.0,22.8,0.6
2008-10-16,0.0,0.0,0.0,27.2,1.1
2008-10-17,0.0,0.0,0.0,28.9,5.0
2008-10-18,0.0,0.0,0.0,27.8,6.1
2008-10-19,0.0,0.0,0.0,30.0,6.7
2008-10-20,0.0,0.0,0.0,31.7,6.7
2008-10-21,0.0,0.0,0.0,32.2,7.8
2008-10-22,0.0,0.0,0.0,30.0,4.4
2008-10-23,0.0,0.0,0.0,28.3,2.2
2008-10-24,0.0,0.0,0.0,27.2,2.2
2008-10-25,0.0,0.0,0.0,29.4,3.3
2008-10-26,0.0,0.0,0.0,29.4,1.7
2008-10-27,0.0,0.0,0.0,32.2,5.6
2008-10-28,0.0,0.0,0.0,26.7,5.6
2008-10-29,0.0,0.0,0.0,28.3,6.1
2008-10-30,0.0,0.0,0.0,30.0,6.7
2008-10-31,0.0,0.0,0.0,29.4,7.2
2008-11-01,0.0,0.0,0.0,30.0,5.6
2008-11-02,0.0,0.0,0.0,30.0,6.1
2008-11-03,0.0,0.0,0.0,29.4,7.8
2008-11-04,0.0,0.0,0.0,27.8,7.8
2008-11-05,0.0,0.0,0.0,26.1,5.6
2008-11-06,0.0,0.0,0.0,19.4,-2.2
2008-11-07,0.0,0.0,0.0,20.6,-3.3
2008-11-08,0.0,0.0,0.0,21.7,-3.9
2008-11-09,0.0,0.0,0.0,25.6,-3.9
2008-11-10,0.0,0.0,0.0,23.9,1.7
2008-11-11,0.0,0.0,0.0,17.2,0.6
2008-11-12,0.0,0.0,0.0,,
2008-11-13,0.0,0.0,0.0,,
2008-11-14,0.0,0.0,0.0,22.8,-0.6
2008-11-15,0.0,0.0,0.0,25.0,2.2
2008-11-16,0.0,0.0,0.0,21.7,-1.1
2008-11-17,0.0,0.0,0.0,23.3,0.0
2008-11-18,0.0,0.0,0.0,26.7,-1.1
2008-11-19,0.0,0.0,0.0,26.1,-1.1
2008-11-20,0.0,0.0,0.0,26.7,-0.6
2008-11-21,0.0,0.0,0.0,26.7,2.2
2008-11-22,0.0,0.0,0.0,18.9,0.0
2008-11-23,0.0,0.0,0.0,25.0,-1.1
2008-11-24,0.0,0.0,0.0,23.9,0.6
2008-11-25,0.0,0.0,0.0,23.3,1.7
2008-11-26,0.0,0.0,0.0,21.1,5.6
2008-11-27,8.9,0.0,0.0,22.8,8.3
2008-11-28,2.5,0.0,0.0,18.3,2.2
2008-11-29,0.0,0.0,0.0,15.0,1.7
2008-11-30,0.0,0.0,0.0,16.7,0.0
2008-12-01,0.0,0.0,0.0,20.6,-1.1
2008-12-02,0.0,0.0,0.0,23.3,-1.1
2008-12-03,0.0,0.0,0.0,25.0,0.6
2008-12-04,0.0,0.0,0.0,21.1,-1.7
2008-12-05,0.0,0.0,0.0,18.3,-1.1
2008-12-06,0.0,0.0,0.0,20.6,-1.7
2008-12-07,0.0,0.0,0.0,20.6,-1.7
2008-12-08,0.0,0.0,0.0,17.2,1.1
2008-12-09,1.8,0.0,0.0,16.1,6.1
2008-12-10,0.0,0.0,0.0,16.1,-4.4
2008-12-11,0.0,0.0,0.0,15.0,-3.9
2008-12-12,0.0,0.0,0.0,21.1,-2.8
2008-12-13,0.0,0.0,0.0,21.1,0.6
2008-12-14,0.0,0.0,0.0,20.0,5.6
2008-12-15,0.0,0.0,0.0,13.3,-2.2
2008-12-16,0.0,0.0,0.0,17.8,-2.2
2008-12-17,0.0,0.0,0.0,17.2,5.0
2008-12-18,1.3,0.0,0.0,19.4,5.6
2008-12-19,0.0,0.0,0.0,13.9,-4.4
2008-12-20,0.0,0.0,0.0,15.0,-4.4
2008-12-21,0.0,0.0,0.0,17.8,-5.0
2008-12-22,0.0,0.0,0.0,20.0,-4.4
2008-12-23,0.0,0.0,0.0,20.0,-2.8
2008-12-24,0.0,0.0,0.0,,
2008-12-25,0.0,0.0,0.0,18.3,0.6
2008-12-26,0.0,,,17.2,-1.7
2008-12-27,0.0,0.0,0.0,12.2,-8.3
2008-12-28,0.0,0.0,0.0,5.0,-7.2
2008-12-29,1.3,0.0,0.0,-1.7,
2008-12-30,0.0,0.0,0.0,,
2008-12-31,0.0,0.0,0.0,,
2009-01-01,0.0,0.0,0.0,,
2009-01-02,0.3,0.0,0.0,,
2009-01-03,0.0,0.0,0.0,,
2009-01-04,0.0,0.0,0.0,,
2009-01-05,0.0,0.0,0.0,,
2009-01-06,0.0,0.0,0.0,,
2009-01-07,0.0,0.0,0.0,,
2009-01-08,0.0,0.0,0.0,,
2009-01-09,0.0,0.0,0.0,,
2009-01-10,0.0,0.0,0.0,,
2009-01-11,0.0,0.0,0.0,,
2009-01-12,0.0,0.0,0.0,,
2009-01-13,0.0,0.0,0.0,,
2009-01-14,0.0,0.0,0.0,,
2009-01-15,0.0,0.0,0.0,21.1,-10.0
2009-01-16,0.0,0.0,0.0,22.2,-3.3
2009-01-17,0.0,0.0,0.0,,
2009-01-18,0.0,0.0,0.0,,
2009-01-19,0.0,0.0,0.0,23.3,-2.8
2009-01-20,0.0,0.0,0.0,23.9,0.6
2009-01-21,0.0,0.0,0.0,23.9,3.9
2009-01-22,0.0,0.0,0.0,,
2009-01-23,2.8,0.0,0.0,13.9,8.9
2009-01-24,11.2,0.0,0.0,16.7,3.9
2009-01-25,0.0,0.0,0.0,20.0,1.1
2009-01-26,0.0,0.0,0.0,21.7,3.3
2009-01-27,0.0,0.0,0.0,18.3,1.1
2009-01-28,0.0,0.0,0.0,11.1,-6.1
2009-01-29,0.0,0.0,0.0,16.7,-6.1
2009-01-30,0.0,0.0,0.0,18.9,-6.7
2009-01-31,0.0,0.0,0.0,,
2009-02-01,0.0,0.0,0.0,21.1,-3.9
2009-02-02,0.0,0.0,0.0,19.4,-3.9
2009-02-03,0.0,0.0,0.0,20.6,-4.4
2009-02-04,0.0,0.0,0.0,22.8,-3.9
2009-02-05,0.0,0.0,0.0,23.3,-3.9
2009-02-06,0.0,0.0,0.0,27.2,0.0
2009-02-07,0.0,0.0,0.0,24.4,-0.6
2009-02-08,3.8,0.0,0.0,22.8,3.3
2009-02-09,2.0,0.0,0.0,12.2,1.1
2009-02-10,0.0,0.0,0.0,15.6,-6.1
2009-02-11,0.0,0.0,0.0,16.7,-0.6
2009-02-12,0.0,0.0,0.0,16.1,-0.6
2009-02-13,0.0,0.0,0.0,20.0,-4.4
2009-02-14,0.0,0.0,0.0,17.8,-5.0
2009-02-15,0.0,0.0,0.0,13.9,-3.3
2009-02-16,0.0,0.0,0.0,16.7,-3.3
2009-02-17,0.0,0.0,0.0,22.2,-0.6
2009-02-18,0.0,0.0,0.0,16.7,-3.3
2009-02-19,0.0,0.0,0.0,16.7,-5.6
2009-02-20,0.0,0.0,0.0,20.6,-4.4
2009-02-21,0.0,0.0,0.0,23.3,-2.8
2009-02-22,0.0,0.0,0.0,25.6,0.0
2009-02-23,0.0,0.0,0.0,26.1,6.1
2009-02-24,0.0,0.0,0.0,30.6,5.0
2009-02-25,0.0,0.0,0.0,27.2,6.7
2009-02-26,0.0,0.0,0.0,28.3,7.2
2009-02-27,0.0,0.0,0.0,,
2009-02-28,0.0,0.0,0.0,26.1,0.0
2009-03-01,0.0,0.0,0.0,27.8,3.3
2009-03-02,0.0,0.0,0.0,26.7,0.6
2009-03-03,0.0,0.0,0.0,31.1,1.7
2009-03-04,0.0,0.0,0.0,30.0,4.4
2009-03-05,0.0,0.0,0.0,26.7,8.3
2009-03-06,0.0,0.0,0.0,25.6,8.9
2009-03-07,0.0,0.0,0.0,,
2009-03-08,0.0,0.0,0.0,24.4,-1.1
2009-03-09,0.0,0.0,0.0,21.7,2.8
2009-03-10,0.0,0.0,0.0,21.1,5.0
2009-03-11,0.0,0.0,0.0,,
2009-03-12,0.0,0.0,0.0,22.2,2.2
2009-03-13,0.0,0.0,0.0,23.3,1.7
2009-03-14,0.0,0.0,0.0,20.0,2.2
2009-03-15,0.0,0.0,0.0,20.6,0.0
2009-03-16,0.0,0.0,0.0,21.1,0.6
2009-03-17,0.0,0.0,0.0,25.6,2.8
2009-03-18,0.0,0.0,0.0,28.3,3.9
2009-03-19,0.0,0.0,0.0,29.4,3.3
2009-03-20,0.0,0.0,0.0,30.0,4.4
2009-03-21,0.0,0.0,0.0,30.0,10.0
2009-03-22,0.0,0.0,0.0,27.2,6.7
2009-03-23,0.0,0.0,0.0,,
2009-03-24,0.0,0.0,0.0,,
2009-03-25,0.0,0.0,0.0,18.9,-2.8
2009-03-26,0.0,0.0,0.0,22.8,-1.1
2009-03-27,0.0,0.0,0.0,23.9,0.6
2009-03-28,0.0,0.0,0.0,23.9,-3.3
2009-03-29,0.0,0.0,0.0,22.8,1.7
2009-03-30,0.0,0.0,0.0,25.6,7.8
2009-03-31,0.0,0.0,0.0,21.7,-1.7
2009-04-01,0.0,0.0,0.0,,
2009-04-02,0.0,0.0,0.0,23.3,-1.7
2009-04-03,0.0,0.0,0.0,25.0,6.7
2009-04-04,0.0,0.0,0.0,25.6,10.6
2009-04-05,0.0,0.0,0.0,21.1,-1.7
2009-04-06,0.0,0.0,0.0,23.3,3.9
2009-04-07,0.0,0.0,0.0,26.7,3.9
2009-04-08,0.0,0.0,0.0,30.0,8.9
2009-04-09,0.0,0.0,0.0,27.2,7.2
2009-04-10,0.0,0.0,0.0,24.4,5.6
2009-04-11,0.0,0.0,0.0,28.3,6.1
2009-04-12,0.3,0.0,0.0,16.1,2.8
2009-04-13,0.3,0.0,0.0,19.4,2.8
2009-04-14,0.0,0.0,0.0,26.7,6.7
2009-04-15,0.0,0.0,0.0,27.8,11.1
2009-04-16,0.0,0.0,0.0,23.3,-0.6
2009-04-17,0.0,0.0,0.0,15.6,3.3
2009-04-18,0.0,0.0,0.0,18.9,-0.6
2009-04-19,0.0,0.0,0.0,,
2009-04-20,0.0,0.0,0.0,30.0,5.0
2009-04-21,0.0,0.0,0.0,31.1,3.9
2009-04-22,0.0,0.0,0.0,33.9,9.4
2009-04-23,0.0,0.0,0.0,32.8,8.3
2009-04-24,0.0,0.0,0.0,30.0,8.9
2009-04-25,0.0,0.0,0.0,30.6,11.1
2009-04-26,0.0,0.0,0.0,29.4,7.2
2009-04-27,0.0,0.0,0.0,25.0,1.7
2009-04-28,0.0,0.0,0.0,28.9,5.6
2009-04-29,0.0,0.0,0.0,31.1,6.7
2009-04-30,0.0,0.0,0.0,30.0,5.6
2009-05-01,0.0,0.0,0.0,32.8,6.7
2009-05-02,0.0,0.0,0.0,31.7,13.3
2009-05-03,0.0,0.0,0.0,28.3,10.0
2009-05-04,0.0,0.0,0.0,30.6,9.4
2009-05-05,0.0,0.0,0.0,31.7,9.4
2009-05-06,0.0,0.0,0.0,31.1,8.9
2009-05-07,0.0,0.0,0.0,35.0,10.6
2009-05-08,0.0,0.0,0.0,36.7,12.2
2009-05-09,0.0,0.0,0.0,36.7,13.3
2009-05-10,0.0,0.0,0.0,37.2,11.7
2009-05-11,0.0,0.0,0.0,36.1,11.1
2009-05-12,0.0,0.0,0.0,36.7,13.3
2009-05-13,0.0,0.0,0.0,35.0,13.3
2009-05-14,0.0,0.0,0.0,35.0,12.8
2009-05-15,0.0,0.0,0.0,36.1,10.0
2009-05-16,0.0,0.0,0.0,35.0,11.7
2009-05-17,0.0,0.0,0.0,36.1,20.0
2009-05-18,0.0,0.0,0.0,33.3,13.3
2009-05-19,0.0,0.0,0.0,,
2009-05-20,1.3,0.0,0.0,35.6,16.7
2009-05-21,6.6,0.0,0.0,26.7,14.4
2009-05-22,2.5,0.0,0.0,19.4,15.6
2009-05-23,0.0,0.0,0.0,26.1,12.8
2009-05-24,0.0,0.0,0.0,29.4,13.3
2009-05-25,0.0,0.0,0.0,31.7,11.7
2009-05-26,0.0,0.0,0.0,32.8,
2009-05-27,0.0,0.0,0.0,32.2,11.1
2009-05-28,0.0,0.0,0.0,31.7,12.2
2009-05-29,0.0,0.0,0.0,31.7,11.1
2009-05-30,0.0,0.0,0.0,,
2009-05-31,0.0,0.0,0.0,34.4,9.4
2009-06-01,,,,,
2009-06-02,,,,,
2009-06-03,,,,,
2009-06-04,,,,,
2009-06-05,,,,,
2009-06-06,,,,,
2009-06-07,,,,,
2009-06-08,,,,,
2009-06-09,,,,,
2009-06-10,,,,,
2009-06-11,,,,,
2009-06-12,,,,,
2009-06-13,,,,,
2009-06-14,,,,,
2009-06-15,,,,,
2009-06-16,,,,,
2009-06-17,,,,,
2009-06-18,,,,,
2009-06-19,,,,,
2009-06-20,,,,,
2009-06-21,,,,,
2009-06-22,,,,,
2009-06-23,,,,,
2009-06-24,,,,,
2009-06-25,,,,,
2009-06-26,,,,,
2009-06-27,,,,,
2009-06-28,,,,,
2009-06-29,,,,,
2009-06-30,,,,,
2009-07-01,,,,,
2009-07-02,,,,,
2009-07-03,,,,,
2009-07-04,,,,,
2009-07-05,,,,,
2009-07-06,,,,,
2009-07-07,,,,,
2009-07-08,,,,,
2009-07-09,,,,,
2009-07-10,,,,,
2009-07-11,,,,,
2009-07-12,,,,,
2009-07-13,,,,,
2009-07-14,,,,,
2009-07-15,,,,,
2009-07-16,,,,,
2009-07-17,,,,,
2009-07-18,,,,,
2009-07-19,,,,,
2009-07-20,,,,,
2009-07-21,,,,,
2009-07-22,,,,,
2009-07-23,,,,,
2009-07-24,,,,,
2009-07-25,,,,,
2009-07-26,,,,,
2009-07-27,,,,,
2009-07-28,,,,,
2009-07-29,,,,,
2009-07-30,,,,,
2009-07-31,,,,,
2009-08-01,,,,,
2009-08-02,,,,,
2009-08-03,,,,,
2009-08-04,,,,,
2009-08-05,,,,,
2009-08-06,,,,,
2009-08-07,,,,,
2009-08-08,,,,,
2009-08-09,,,,,
2009-08-10,,,,,
2009-08-11,,,,,
2009-08-12,,,,,
2009-08-13,,,,,
2009-08-14,,,,,
2009-08-15,,,,,
2009-08-16,,,,,
2009-08-17,,,,,
2009-08-18,,,,,
2009-08-19,,,,,
2009-08-20,,,,,
2009-08-21,,,,,
2009-08-22,,,,,
2009-08-23,,,,,
2009-08-24,,,,,
2009-08-25,,,,,
2009-08-26,,,,,
2009-08-27,,,,,
2009-08-28,,,,,
2009-08-29,,,,,
2009-08-30,,,,,
2009-08-31,,,,,
2009-09-01,,,,,
2009-09-02,,,,,
2009-09-03,,,,,
2009-09-04,,,,,
2009-09-05,,,,,
2009-09-06,,,,,
2009-09-07,,,,,
2009-09-08,,,,,
2009-09-09,,,,,
2009-09-10,,,,,
2009-09-11,,,,,
2009-09-12,,,,,
2009-09-13,,,,,
2009-09-14,,,,,
2009-09-15,,,,,
2009-09-16,,,,,
2009-09-17,,,,,
2009-09-18,,,,,
2009-09-19,,,,,
2009-09-20,,,,,
2009-09-21,,,,,
2009-09-22,,,,,
2009-09-23,,,,,
2009-09-24,,,,,
2009-09-25,,,,,
2009-09-26,,,,,
2009-09-27,,,,,
2009-09-28,,,,,
2009-09-29,,,,,
2009-09-30,,,,,
2009-10-01,0.0,0.0,0.0,33.9,13.9
2009-10-02,0.0,0.0,0.0,30.0,7.8
2009-10-03,0.0,0.0,0.0,30.0,10.6
2009-10-04,1.8,0.0,0.0,20.0,12.2
2009-10-05,0.0,0.0,0.0,29.4,15.6
2009-10-06,0.0,0.0,0.0,30.0,14.4
2009-10-07,0.0,0.0,0.0,28.9,15.0
2009-10-08,0.0,0.0,0.0,28.3,7.8
2009-10-09,0.0,0.0,0.0,22.2,2.2
2009-10-10,0.0,0.0,0.0,26.7,5.6
2009-10-11,0.0,0.0,0.0,28.9,10.0
2009-10-12,0.0,0.0,0.0,27.2,7.8
2009-10-13,0.0,0.0,0.0,28.9,10.0
2009-10-14,0.0,0.0,0.0,29.4,8.3
2009-10-15,0.0,0.0,0.0,,
2009-10-16,,,,,
2009-10-17,,,,,
2009-10-18,,,,,
2009-10-19,,0.0,0.0,33.3,7.8
2009-10-20,1.5,0.0,0.0,30.6,13.9
2009-10-21,0.0,0.0,0.0,27.2,2.2
2009-10-22,0.0,0.0,0.0,23.3,4.4
2009-10-23,0.0,0.0,0.0,25.6,5.0
2009-10-24,,,,,
2009-10-25,,,,,
2009-10-26,0.0,0.0,0.0,26.7,1.7
2009-10-27,0.0,0.0,0.0,24.4,2.8
2009-10-28,1.8,0.0,0.0,26.7,2.8
2009-10-29,0.0,0.0,0.0,11.1,-6.1
2009-10-30,,,,,
2009-10-31,0.0,0.0,0.0,16.7,-5.0
2009-11-01,0.0,0.0,0.0,27.2,0.6
2009-11-02,0.0,0.0,0.0,30.0,2.8
2009-11-03,,,,,
2009-11-04,0.0,0.0,0.0,29.4,3.3
2009-11-05,0.0,0.0,0.0,30.0,5.6
2009-11-06,0.0,0.0,0.0,30.6,5.0
2009-11-07,0.0,0.0,0.0,28.9,5.0
2009-11-08,0.0,0.0,0.0,27.2,5.6
2009-11-09,0.0,0.0,0.0,26.7,4.4
2009-11-10,0.0,0.0,0.0,26.7,3.3
2009-11-11,0.0,0.0,0.0,27.2,5.6
2009-11-12,0.0,0.0,0.0,28.3,5.6
2009-11-13,0.0,0.0,0.0,20.6,7.8
2009-11-14,,,,,
2009-11-15,0.0,0.0,0.0,17.8,-0.6
2009-11-16,0.0,0.0,0.0,17.8,-4.4
2009-11-17,0.0,0.0,0.0,20.0,-4.4
2009-11-18,0.0,0.0,0.0,21.7,-4.4
2009-11-19,0.0,0.0,0.0,23.9,-2.2
2009-11-20,0.0,0.0,0.0,21.1,-1.7
2009-11-21,0.0,0.0,0.0,22.8,0.0
2009-11-22,,,,,
2009-11-23,0.0,0.0,0.0,23.9,-1.1
2009-11-24,0.0,0.0,0.0,21.7,-1.1
2009-11-25,0.0,0.0,0.0,21.1,-3.3
2009-11-26,0.0,0.0,0.0,21.1,-3.3
2009-11-27,0.0,0.0,0.0,20.6,-2.2
2009-11-28,0.0,0.0,0.0,21.1,1.1
2009-11-29,0.0,0.0,0.0,23.3,6.1
2009-11-30,2.5,0.0,0.0,19.4,2.8
2009-12-01,0.0,0.0,0.0,10.6,-0.6
2009-12-02,0.0,0.0,0.0,14.4,-8.3
2009-12-03,0.0,0.0,0.0,16.1,-1.7
2009-12-04,0.0,0.0,0.0,15.6,-2.2
2009-12-05,0.0,0.0,0.0,12.2,-6.1
2009-12-06,0.0,0.0,0.0,15.6,-4.4
2009-12-07,0.0,0.0,0.0,15.0,3.3
2009-12-08,0.0,0.0,0.0,15.0,4.4
2009-12-09,0.3,0.0,0.0,9.4,-3.3
2009-12-10,0.0,0.0,0.0,12.8,-5.6
2009-12-11,0.0,0.0,0.0,17.2,-5.6
2009-12-12,0.0,0.0,0.0,17.2,-5.6
2009-12-13,0.0,0.0,0.0,17.2,-0.6
2009-12-14,0.0,0.0,0.0,18.3,1.1
2009-12-15,0.0,0.0,0.0,18.3,-5.0
2009-12-16,0.0,0.0,0.0,16.7,-3.9
2009-12-17,0.0,0.0,0.0,18.3,-2.8
2009-12-18,0.0,0.0,0.0,21.1,-3.3
2009-12-19,0.0,0.0,0.0,21.1,-3.3
2009-12-20,0.0,0.0,0.0,18.3,-3.9
2009-12-21,0.0,0.0,0.0,17.8,-1.1
2009-12-22,0.0,0.0,0.0,19.4,-1.1
2009-12-23,6.9,0.0,0.0,19.4,-3.3
2009-12-24,0.0,0.0,0.0,19.4,-5.0
2009-12-25,0.0,0.0,0.0,11.1,-6.7
2009-12-26,0.0,0.0,0.0,12.2,-7.8
2009-12-27,0.0,0.0,0.0,11.1,-7.2
2009-12-28,0.0,0.0,0.0,13.9,-5.6
2009-12-29,0.3,0.0,0.0,13.9,-1.1
2009-12-30,0.0,0.0,0.0,13.9,-6.1
2009-12-31,0.0,0.0,0.0,15.6,-3.9
2010-01-01,0.0,0.0,0.0,13.9,6.1
2010-01-02,0.0,0.0,0.0,15.6,-6.7
2010-01-03,0.0,0.0,0.0,18.3,-3.9
2010-01-04,0.0,0.0,0.0,20.0,-3.9
2010-01-05,0.0,0.0,0.0,18.3,-3.9
2010-01-06,0.0,0.0,0.0,20.0,-3.9
2010-01-07,0.0,0.0,0.0,20.6,-2.8
2010-01-08,0.0,0.0,0.0,19.4,-0.6
2010-01-09,0.0,0.0,0.0,13.3,-3.9
2010-01-10,0.0,0.0,0.0,17.8,-4.4
2010-01-11,0.0,0.0,0.0,16.1,-2.8
2010-01-12,0.0,0.0,0.0,18.9,-5.0
2010-01-13,0.0,0.0,0.0,18.9,-5.0
2010-01-14,0.0,0.0,0.0,19.4,1.1
2010-01-15,0.0,0.0,0.0,14.4,-1.7
2010-01-16,0.0,0.0,0.0,17.8,-2.2
2010-01-17,0.0,0.0,0.0,18.3,-2.2
2010-01-18,0.0,0.0,0.0,18.3,-1.1
2010-01-19,0.0,0.0,0.0,19.4,5.0
2010-01-20,5.6,0.0,0.0,16.7,2.2
2010-01-21,0.3,0.0,0.0,15.6,3.9
2010-01-22,16.5,0.0,0.0,16.1,5.0
2010-01-23,9.4,0.0,0.0,11.1,1.7
2010-01-24,0.3,0.0,0.0,11.1,-2.8
2010-01-25,0.0,0.0,0.0,10.6,-3.3
2010-01-26,0.0,0.0,0.0,15.6,-2.8
